ISO-3 Code,Country name,ODW Region Code,ODW Region Name,OECD Member,UN M49 Code,UN M49 Region Code,World Bank  Income Code (June 2019),World Bank Lending Code  (June 2019),World Bank Income Group Name,World Bank (All income) region code,World Bank (All Income) Region Names,World Bank (Developing only) Region Code,World Bank (Developing Only) Region Name,See notes,,
SEN,Senegal,AFW,Western Africa,,686,011,LMC,IDA,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
SRB,Serbia,EUZ,Southern Europe,,688,039,UMC,IBRD,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
SYC,Seychelles,AFE,Eastern Africa,,690,014,HIC,IBRD,High income,SSF,Sub-Saharan Africa,..,,,,
SLE,Sierra Leone,AFW,Western Africa,,694,011,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
SGP,Singapore,ASE,South­Eastern Asia,,702,035,HIC,..,High income,EAS,East Asia & Pacific,..,,,,
SXM,Sint Maarten,AMC,Caribbean,,534,029,HIC,..,High income,LCN,Latin America & Caribbean,..,,,,
SVK,Slovakia,EUE,Eastern Europe,OECD,703,151,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
SVN,Slovenia,EUZ,Southern Europe,OECD,705,039,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
SLB,Solomon Islands,OME,Melanesia,,090,054,LMC,IDA,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
SOM,Somalia,AFE,Eastern Africa,,706,014,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
